strings,first,second,fourth,fifth
vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,1892.5308,358.9152,1290.1488,301.4036
nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,75.7915,976.7527,1720.6659,412.4334
phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl,256.8757,1545.2561,1136.4138,483.9475
nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti,1377.1427,20.6079,1085.646,1418.201
elit proin risus praesent lectus vestibulum quam sapien varius ut,1530.4302,564.9351,28.9511,593.8095
ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl,1215.6493,249.4325,785.6601,1903.9894
nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,943.5938,629.0981,343.7656,1716.864
interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,369.7123,1454.3622,914.8234,1849.022
ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,1765.1933,1628.9187,1447.438,192.6592
sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,1552.288,458.5411,979.7841,1308.1758
adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget,91.9293,418.4387,1701.6323,543.624
arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis,1682.4585,337.7476,1670.8098,784.2273
ut erat curabitur gravida nisi at nibh in hac habitasse platea,1699.4606,1304.5852,1550.9894,1371.4876
quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,1791.1217,1965.9441,149.2793,1892.2068
cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,534.1647,826.3025,1957.4798,1125.0195
luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,1986.0755,1189.3892,451.7645,26.0105
pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo,840.6017,1863.0178,1628.1185,1610.3196
laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,83.0458,1498.3701,430.2962,191.4213
elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,1991.3777,884.5503,853.0984,1764.5127
ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id,1659.8621,683.2477,1674.9678,565.3092
nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere,1106.7208,815.8821,363.6155,518.4289
eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,1445.0283,252.4934,93.0418,636.2869
vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod,301.4519,159.488,1911.4697,1201.8594
leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus,843.1461,951.2197,1365.2591,1821.9381
mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl,1694.0974,1450.369,1284.7268,1174.2473
felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed,58.5568,223.4091,752.4781,1437.5222
vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id,1426.9616,1812.3318,241.7034,440.1796
rutrum ac lobortis vel dapibus at diam nam tristique tortor eu pede,1679.342,1338.8042,1205.6752,1374.4935
elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,1496.6681,442.8715,1902.7831,638.6603
vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,740.3069,470.3894,536.7026,1674.3498
odio condimentum id luctus nec molestie sed justo pellentesque viverra,1728.208,411.9775,289.9458,780.1112
massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,299.6866,1449.3757,511.9045,978.3424
velit eu est congue elementum in hac habitasse platea dictumst,1086.9775,245.1325,1212.9826,546.0644
nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet,1995.8244,1073.7817,135.8993,606.324
rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,852.2653,1463.0317,1907.9611,285.4587
nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae,1928.1651,1581.2408,1229.5258,1379.113
mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,73.1678,335.5447,249.7114,202.8124
justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper,137.5819,1553.8672,1614.426,987.6708
nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris,1790.0526,1622.4206,511.2611,210.2103
sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in,1612.3784,1254.6672,1713.9085,777.7667
donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi,78.3476,1685.9286,112.2905,1306.6503
at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,299.5056,299.8659,679.5379,421.7765
duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus,147.9866,1998.1152,1208.8686,1022.0429
cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit,1503.937,638.2159,460.0495,1143.3819
eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,1297.2685,505.1586,701.5961,1726.2539
libero nullam sit amet turpis elementum ligula vehicula consequat morbi,1764.4287,310.0605,1385.2824,542.0545
ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula,1734.3729,1014.5002,1063.548,866.8144
condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,1503.7436,1297.7075,256.2255,410.4316
nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,1576.5014,808.8456,442.3399,1553.6181
sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,1283.5666,1375.2501,908.3008,501.2908
sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti,909.6551,1487.8863,1996.0655,1338.275
vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus,730.1095,436.6112,752.4681,210.9283
lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,833.9118,1254.1809,1707.4578,176.9854
dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,1910.7245,173.3498,1652.7421,1323.5899
quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in,1049.5862,1624.7425,616.2546,1035.0376
dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam,1207.9741,1704.5819,1515.0274,0.6585
metus aenean fermentum donec ut mauris eget massa tempor convallis,360.1353,794.5931,1074.1102,868.5224
rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus,409.92,796.0826,741.8147,455.8166
ut volutpat sapien arcu sed augue aliquam erat volutpat in congue,1289.2261,507.2981,119.1298,920.7622
lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,998.3265,1699.0775,1981.5304,1839.7203
pede ac diam cras pellentesque volutpat dui maecenas tristique est,1568.8416,1785.7174,1550.0765,40.7265
enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus,1014.1108,533.2267,1094.2461,1746.2898
non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum,254.3885,464.5341,1215.804,1480.7115
tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,655.7522,357.0491,176.273,1765.4015
mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor,1600.935,935.2679,1968.6182,793.2478
turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in,122.8769,1973.3201,1580.0358,562.0185
nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,110.3686,253.4721,1018.9563,1521.93
rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,1180.3685,127.2135,639.0812,1338.5565
velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,1254.7554,33.382,1205.8955,1666.1373
ut tellus nulla ut erat id mauris vulputate elementum nullam,742.0963,1089.1594,1686.1508,1375.7604
in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,567.8083,121.5137,691.5304,1666.2565
mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae,600.0393,1498.1566,364.1109,643.5987
natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,125.6545,878.4183,313.8201,652.0634
ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,921.4628,1905.9911,368.8857,1570.0855
sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie,891.7439,369.5956,504.8514,309.3727
at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium,1341.172,504.9382,400.0947,477.9897
at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat,1635.3669,1305.1043,1523.8751,457.9084
enim blandit mi in porttitor pede justo eu massa donec dapibus duis,1814.7152,1480.7181,722.7228,931.3779
suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur,10.5959,306.1012,1180.0442,1937.3381
enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam,1218.8003,92.6844,1931.6241,1195.7492
mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui,1173.1273,758.1687,1428.3243,475.4431
mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum,352.6974,1994.3216,1007.5844,393.3497
lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,1494.6531,1599.6022,1014.9843,13.8031
pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget,886.5331,1436.1201,1214.52,704.7192
phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in,1657.1843,1237.8348,1490.9306,1945.4252
lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus praesent lectus,881.4756,1015.6931,349.3227,985.7445
convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,1631.8424,1449.4283,1017.5098,1240.9775
lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla,1458.9338,769.3545,718.0406,1221.1739
sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus,1443.3332,1383.5909,1864.6557,364.6954
dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,1760.1615,802.5329,953.3727,890.8924
nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,1329.4188,269.9927,1738.8586,830.6406
vitae consectetuer eget rutrum at lorem integer tincidunt ante vel,390.1315,796.6482,792.5723,67.4513
primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,124.2817,1775.5256,571.1149,71.2063
est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,1491.1342,1842.4777,1924.474,247.3786
ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,882.422,1721.9228,285.0487,1298.3632
adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,1708.3057,535.7953,1621.6162,1613.7029
magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,1502.6893,1304.0426,1831.9163,1034.677
in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla,471.0336,1063.436,416.9435,755.7711
cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,423.0663,1292.761,996.1252,21.3882
turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices,277.2456,1562.2664,1537.7006,50.5237
sed tristique in tempus sit amet sem fusce consequat nulla nisl,389.7283,487.4105,1404.8428,1335.3279
feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,573.4774,1071.0786,794.8626,673.5993
amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum,1004.2654,933.3287,732.1196,69.6865
aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate,440.1646,1684.3096,1563.1582,1335.0089
dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis,592.7884,1694.8886,1165.3778,669.4495
felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque,132.1092,601.4991,505.9309,697.5071
tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,832.5592,1932.3521,148.9164,32.0159
platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante,37.6935,148.7254,1914.4604,1666.5258
sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,257.7495,1429.6062,1014.8988,1659.8679
ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,1543.2821,1587.6345,1364.6732,120.4522
a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut,294.0056,1103.4737,870.6911,447.9392
nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula,1740.0244,285.9259,1810.4431,965.9287
in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur,1930.0732,1127.7764,655.7821,1138.0957
mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis,281.1344,878.4071,157.8288,1232.1553
non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,121.9889,1447.9876,1851.7179,55.3744
nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia,806.5891,626.1249,1023.3017,1670.2379
est et tempus semper est quam pharetra magna ac consequat metus sapien ut,660.9664,1484.7127,527.6561,380.2204
convallis nulla neque libero convallis eget eleifend luctus ultricies eu,693.4167,183.2236,1346.249,126.0001
ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,418.7523,1255.5046,1456.9449,446.8387
lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed,983.9615,928.4708,792.0496,290.3743
lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,670.291,1961.4264,1470.6113,24.5862
donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque,1930.4834,1405.4787,343.4526,439.4234
semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,876.5636,1376.2796,1445.7093,899.7243
mi integer ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis,971.5539,1890.5019,636.9712,427.8186
massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh,1835.1304,43.4231,703.9732,1530.3837
sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero,491.4536,1443.8724,1074.4534,85.647
massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id,1194.6493,766.2331,357.0494,1479.3944
justo morbi ut odio cras mi pede malesuada in imperdiet,664.51,1685.697,299.5534,1395.5997
eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci,518.1828,435.4412,1032.1255,1925.3022
ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,1645.686,285.2583,1949.2039,1249.8473
pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,702.554,506.0135,1854.4763,680.4785
duis bibendum morbi non quam nec dui luctus rutrum nulla tellus in,1264.0621,1847.7484,393.1041,56.131
turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet,986.572,638.9979,822.6068,1701.391
phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,1811.5214,1658.4319,1585.1696,1994.0185
nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,1877.306,1142.3669,1143.8742,1939.3896
donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed,503.89,829.7209,680.1204,643.8525
vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta,69.7964,1020.4211,1506.9046,1182.9096
lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,1941.0208,857.2627,1223.1279,387.4695
vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,837.6477,785.473,1159.0935,1644.8171
ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,470.6359,1672.4064,261.5429,1539.0414
aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,1232.742,282.6789,1088.7059,1395.6643
orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,1525.1346,392.3637,297.0193,1629.3882
vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis,1155.3342,203.7566,221.4509,721.9444
imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam,1053.5986,1264.2542,109.0356,1487.1428
porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,25.6432,1537.6992,1373.4258,1629.4231
mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,124.503,1987.6361,1159.6116,181.4014
in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id,491.5238,1687.9779,982.9495,890.4329
vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,198.1199,1950.5616,540.2511,1178.999
nulla tellus in sagittis dui vel nisl duis ac nibh,1076.124,1387.996,1599.5557,1994.7429
magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum,1008.2107,731.4056,480.2402,1316.2498
erat curabitur gravida nisi at nibh in hac habitasse platea dictumst,67.3017,395.0118,1747.2991,525.5239
semper rutrum nulla nunc purus phasellus in felis donec semper sapien a,1226.6181,1987.5003,1281.2683,994.0327
luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio,1426.8267,940.7918,292.2837,1241.575
lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in,1213.3789,893.5799,337.0463,704.351
dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,197.3865,228.1611,1672.338,748.9217
morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam,1910.7105,1956.5714,1054.9283,590.469
rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,993.7874,1231.1113,914.0165,1358.1035
ipsum primis in faucibus orci luctus et ultrices posuere cubilia,165.3282,1861.7965,92.1186,721.4924
tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec,333.52,1157.4688,737.609,1212.6097
sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,1673.8753,1765.0925,731.7336,1626.6075
vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,69.0784,380.0368,1146.3486,237.4187
scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis,227.252,703.2945,252.9329,1272.0835
velit eu est congue elementum in hac habitasse platea dictumst morbi,1439.0896,1095.1389,1155.627,503.2589
ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat,59.4436,500.3825,1705.3491,1041.3868
felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,1365.7507,1588.2293,1361.6137,1325.8414
nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec,1474.3967,1239.5229,1302.4087,1631.2523
libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis,228.7878,174.1778,1973.3996,480.1137
risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis,406.9848,79.0246,1208.7938,869.638
sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis,1324.9788,1101.1821,1277.2805,1374.9374
id nulla ultrices aliquet maecenas leo odio condimentum id luctus,917.876,804.3075,223.5269,1780.1088
etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,1919.6975,799.5223,1145.5459,128.8898
ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,635.1167,378.6963,1144.1015,1338.4324
est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,21.1365,1530.3538,439.8578,1551.697
in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat,1012.0573,398.3965,1241.0776,387.9944
libero nullam sit amet turpis elementum ligula vehicula consequat morbi,263.98,1403.2248,1883.6001,1055.6383
vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes,306.1743,1954.1427,1166.4959,1799.3959
pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,577.9827,1071.5678,1129.6998,1784.6077
vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non,426.2223,108.0836,1161.5281,100.136
condimentum id luctus nec molestie sed justo pellentesque viverra pede ac diam cras,957.5272,587.3135,454.0461,912.2689
posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci,381.0064,1910.1722,1931.5993,1952.9191
tortor duis mattis egestas metus aenean fermentum donec ut mauris,5.3374,1560.3954,1726.9027,6.8924
est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et,822.482,1015.755,793.8911,679.9778
quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu,1392.5769,1227.3843,769.8002,703.8795
dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor,957.2713,1683.5264,478.3746,202.7403
in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,150.1626,254.8693,1727.259,299.7841
sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,198.5213,1127.5069,206.3633,1974.3479
nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus,760.7039,1994.1159,642.7074,144.6038
pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim,1870.1685,176.4135,1769.0137,1092.1813
magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem,1391.4919,1802.7995,342.0497,1545.7287
cursus id turpis integer aliquet massa id lobortis convallis tortor,524.1946,780.2345,957.8538,1803.1584
nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,1152.1303,178.7776,487.8757,1260.371
vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis,1191.8789,512.3456,1523.9597,81.9518
nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan,182.3668,508.6995,227.7233,1365.9007
etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,1200.0749,685.9423,456.6145,1611.5235
tellus nulla ut erat id mauris vulputate elementum nullam varius nulla,38.1247,1715.7212,1696.3506,238.2382
varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices,946.2722,1343.0011,1149.3889,1156.7672
volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,915.593,1833.7544,1126.3045,1587.7601
amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,1220.5426,1885.4921,1849.6651,553.4153
suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit,1045.249,1226.1343,1393.5559,1917.4653
consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien,1549.1406,337.6468,1051.7761,831.5333
sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices,1059.5701,29.196,970.6666,746.7086
orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,128.8871,1111.771,738.6692,945.9546
placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id,157.3284,589.9275,28.629,250.8061
cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend,1704.24,414.6164,1187.8282,1102.542
rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi,775.697,802.5589,506.081,299.925
ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,133.0003,1248.1266,871.1709,1604.7628
ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,1172.298,176.5296,1982.4887,427.597
leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id,308.0317,1243.2628,724.9741,449.073
sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus,527.5675,1686.1801,1413.8681,1419.9758
convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,1504.4168,268.1543,1002.4702,1659.6453
volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,934.7304,1438.4756,1111.8425,1294.1549
vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper,923.2073,1413.3287,75.2982,158.8275
ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,1837.6938,999.8982,1834.9286,196.0586
vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc,107.0298,613.8456,506.6857,1628.9873
accumsan tellus nisi eu orci mauris lacinia sapien quis libero,1015.727,620.9273,1325.0886,1649.0822
est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,453.3046,976.6202,1976.7106,270.7073
etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit,1930.84,1000.6001,295.5441,1170.0676
lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst,342.7827,1517.3973,577.4076,251.754
metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices,1360.7965,1869.42,1512.8155,586.6012
vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula,1767.7341,645.9039,1672.9464,296.7872
tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus,1761.0376,1466.0716,637.1695,1305.3685
a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,797.1439,1679.6424,1193.4965,1111.1797
egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,1732.5357,1454.2755,337.3745,542.703
sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,442.1484,1474.4049,1631.4672,646.0432
